"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"SN74HC595N","Texas Instruments","296-1600-5-ND","IC1","","Tube","Active","1","0.53000","$0.53","27007","8 Weeks","IC 8-BIT SHIFT REGISTER 16-DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"ULN2803A","STMicroelectronics","497-2356-5-ND","IC2","","Tube","Active","1","1.19000","$1.19","48108","28 Weeks","TRANS 8NPN DARL 50V 0.5A 18DIP","RoHS Compliant","Lead free","Not Available",""
"CFR-25JB-52-10K","Yageo","10KQBK-ND","10k Resistor","","Bulk","Active","1","0.10000","$0.10","395176","16 Weeks","RES 10K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected",""
"54602-908LF","Amphenol ICC (FCI)","609-1046-ND","Ethernet Jack","","Bulk","Active","2","0.60000","$1.20","101891","6 Weeks","CONN MOD JACK 8P8C R/A UNSHLD","RoHS Compliant","Lead free","Not Available",""
"PH2-230/120-081","On Shore Technology Inc.","PH2-230/120-081-ND","Address Selector","","Bulk","Active","1","0.40000","$0.40","26","12 Weeks","CONN HEADER VERT 8POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61300311121","Wurth Electronics Inc.","732-5316-ND","Slave Master Selector","","Bag","Active","1","0.13000","$0.13","142616","14 Weeks","CONN HEADER VERT 3POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"282834-2","TE Connectivity AMP Connectors","A98333-ND","Selector Pins Display Ground Tie","","Box","Active","2","0.88000","$1.76","28602","21 Weeks","TERM BLK 2P SIDE ENT 2.54MM PCB","RoHS Compliant","Lead free","Not Available",""
"382811-8","TE Connectivity AMP Connectors","A26228-ND","Shunts for pins","","Bulk","Active","4","0.00000","$0.00","57180","4 Weeks","CONN SHUNT 2POS OPEN 2.54MM","RoHS Compliant","Lead free","Not Available",""
"HDSP-C3E3","Broadcom Limited","516-3177-5-ND","Seven Segment Display","","Tube","Active","1","0.00000","$0.00","0","12 Weeks","DISPLAY 0.36 SGL DGT CC RED TH","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"OSTTE080104","On Shore Technology Inc.","ED2746-ND","Display Segment Connectors (optional)","","Bulk","Active","1","1.64000","$1.64","7452","12 Weeks","TERM BLK 8POS SIDE ENT 3.5MM PCB","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"1984617","Phoenix Contact","277-1721-ND","Power Connectors (optional)","","Box","Active","3","0.48000","$1.44","72569","4 Weeks","TERM BLK 2POS SIDE ENT 3.5MM PCB","RoHS Compliant","Lead free","Not Available",""
"A 16-LC-TT","Assmann WSW Components","AE9992-ND","Sockets for  SHIFT REGISTER (optional)","","Tube","Active","1","0.25000","$0.25","46264","20 Weeks","CONN IC DIP SOCKET 16POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"ED18DT","On Shore Technology Inc.","ED3047-5-ND","Socket for ULN2803A (optional no high current)","","Tube","Active","1","0.23000","$0.23","12504","12 Weeks","CONN IC DIP SOCKET 18POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"282834-2","TE Connectivity AMP Connectors","A98333-ND","Connector for Slave  Data Input (optional)","","Box","Active","1","0.88000","$0.88","28602","21 Weeks","TERM BLK 2P SIDE ENT 2.54MM PCB","RoHS Compliant","Lead free","Not Available",""
"CFR-25JB-52-220R","Yageo","220QBK-ND","220ohm for micro display","","Bulk","Active","1","0.10000","$0.10","144243","16 Weeks","RES 220 OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected",""
