"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"SN74HC595N","Texas Instruments","296-1600-5-ND","IC1, IC3, IC5, IC7","","Tube","Active","4","0.53000","$2.12","27007","8 Weeks","IC 8-BIT SHIFT REGISTER 16-DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"ULN2803A","STMicroelectronics","497-2356-5-ND","IC2, IC4, IC6, IC8","","Tube","Active","4","1.19000","$4.76","48110","28 Weeks","TRANS 8NPN DARL 50V 0.5A 18DIP","RoHS Compliant","Lead free","Not Available",""
"CFR-25JB-52-10K","Yageo","10KQBK-ND","10k Resistor","","Bulk","Active","4","0.10000","$0.40","425426","16 Weeks","RES 10K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected",""
"54602-908LF","Amphenol ICC (FCI)","609-1046-ND","Ethernet Jack","","Bulk","Active","1","0.60000","$0.60","101951","6 Weeks","CONN MOD JACK 8P8C R/A UNSHLD","RoHS Compliant","Lead free","Not Available",""
"OSTTE080104","On Shore Technology Inc.","ED2746-ND","Display Segment Connectors (optional)","","Bulk","Active","4","1.64000","$6.56","7452","12 Weeks","TERM BLK 8POS SIDE ENT 3.5MM PCB","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"1984617","Phoenix Contact","277-1721-ND","Power Connectors (optional)","","Box","Active","4","0.48000","$1.92","72569","4 Weeks","TERM BLK 2POS SIDE ENT 3.5MM PCB","RoHS Compliant","Lead free","Not Available",""
"A 16-LC-TT","Assmann WSW Components","AE9992-ND","Sockets for  SHIFT REGISTER (optional)","","Tube","Active","4","0.25000","$1.00","46264","20 Weeks","CONN IC DIP SOCKET 16POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"ED18DT","On Shore Technology Inc.","ED3047-5-ND","Socket for ULN2803A (optional no high current)","","Tube","Active","4","0.23000","$0.92","12504","12 Weeks","CONN IC DIP SOCKET 18POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61300211121","Wurth Electronics Inc.","732-5315-ND","JP7 ties ground of logic and display (optional)","","Bag","Active","1","0.13000","$0.13","205592","14 Weeks","CONN HEADER VERT 2POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"382811-8","TE Connectivity AMP Connectors","A26228-ND","Shunt for JP7 (optional)","","Bulk","Active","1","0.00000","$0.00","57200","4 Weeks","CONN SHUNT 2POS OPEN 2.54MM","RoHS Compliant","Lead free","Not Available",""
